City,Administrative Division,Country,Full,Map
Visakhapatnam,Andhra Pradesh,India,"Visakhapatnam, Andhra Pradesh, India",https://en.wikipedia.org/wiki/File:Andhra_Pradesh_map_(updated).jpg
Vladivostok,Primorsky,Russia,"Vladivostok, Primorsky, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Primorsky_Krai.svg
Volgograd,Russia,,"Volgograd, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Volgograd_Oblast.svg
Vologda,Russia,,"Vologda, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Vologda_Oblast.svg
Wadi al Shatii,Libya,,"Wadi al Shatii, Libya",https://en.wikipedia.org/wiki/File:Wadi_al_Shatii_in_Libya.svg
Wallis,,,Wallis,
Wanzhou,Chongqing,China,"Wanzhou, Chongqing, China",https://en.wikipedia.org/wiki/File:Chongqing_in_China_(%2Ball_claims_hatched).svg
Warsaw,,,Warsaw,
Washington,United States,,"Washington, United States",https://en.wikipedia.org/wiki/File:Washington_in_United_States.svg
Wau,Western Bahrel Ghazal,South Sudan,"Wau, Western Bahrel Ghazal, South Sudan",https://en.wikipedia.org/wiki/File:Western_Bahr_el_Ghazal_in_South_Sudan_(%2Bclaims_hatched)_(%2BKafia_Kingi).svg
West Bengal,India,,"West Bengal, India",https://en.wikipedia.org/wiki/File:West_Bengal_in_India.svg
West Kalimantan,Indonesia,,"West Kalimantan, Indonesia",https://en.wikipedia.org/wiki/File:West_Kalimantan_in_Indonesia.svg
West Kazakhstan,Kazakhstan,,"West Kazakhstan, Kazakhstan",https://en.wikipedia.org/wiki/File:West_Kazakhstan_Region_in_Kazakhstan.png
Western,Papua New Guinea,,"Western, Papua New Guinea",https://en.wikipedia.org/wiki/File:Western_Province_in_Papua_New_Guinea.svg
Western,Zambia,,"Western, Zambia",https://en.wikipedia.org/wiki/File:Western_in_Zambia.svg
Western Australia,Australia,,"Western Australia, Australia",https://en.wikipedia.org/wiki/File:Western_Australia_in_Australia.svg
Western Bahrel Ghazal,South Sudan,,"Western Bahrel Ghazal, South Sudan",https://en.wikipedia.org/wiki/File:Western_Bahr_el_Ghazal_in_South_Sudan_(%2Bclaims_hatched)_(%2BKafia_Kingi).svg
Western Cape,South Africa,,"Western Cape, South Africa",https://en.wikipedia.org/wiki/File:Western_Cape_in_South_Africa.svg
Whitehorse,Yukon,Canada,"Whitehorse, Yukon, Canada",https://en.wikipedia.org/wiki/File:Yukon_in_Canada_2.svg
Wichita,Kansas,United States,"Wichita, Kansas, United States",https://en.wikipedia.org/wiki/File:Kansas_in_United_States.svg
Windhoek,,,Windhoek,
Winnipeg,Manitoba,Canada,"Winnipeg, Manitoba, Canada",https://en.wikipedia.org/wiki/File:Manitoba_in_Canada.svg
Wisconsin,United States,,"Wisconsin, United States",https://en.wikipedia.org/wiki/File:Wisconsin_in_United_States.svg
Wuhan,Hubei,China,"Wuhan, Hubei, China",https://en.wikipedia.org/wiki/File:Hubei_in_China_(%2Ball_claims_hatched).svg
Wyoming,United States,,"Wyoming, United States",https://en.wikipedia.org/wiki/File:Wyoming_in_United_States.svg
Xian,Shaanxi,China,"Xian, Shaanxi, China",https://en.wikipedia.org/wiki/File:Shaanxi_in_China_(%2Ball_claims_hatched).svg
Xining,Qinghai,China,"Xining, Qinghai, China",https://en.wikipedia.org/wiki/File:Qinghai_in_China_(%2Ball_claims_hatched).svg
Xinjiang,China,,"Xinjiang, China",https://en.wikipedia.org/wiki/File:Xinjiang_in_China_(de-facto)_(%2Ball_claims_hatched).svg
Yakutsk,Sakha,Russia,"Yakutsk, Sakha, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Sakha_(Yakutia)_(Crimea_disputed).svg
Yamalia,Russia,,"Yamalia, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Yamalo-Nenets_Autonomous_Okrug.svg
Yangon,,,Yangon,
Yekaterinburg,Sverdlovsk,Russia,"Yekaterinburg, Sverdlovsk, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Sverdlovsk_Oblast.svg
Yellowknife,Northwest Territories,Canada,"Yellowknife, Northwest Territories, Canada",https://en.wikipedia.org/wiki/File:Northwest_Territories_in_Canada_2.svg
Yellowknife,,,Yellowknife,
Yemen,,,Yemen,
Yerevan,,,Yerevan,
Yukon,Canada,,"Yukon, Canada",https://en.wikipedia.org/wiki/File:Yukon_in_Canada_2.svg
Yunnan,China,,"Yunnan, China",https://en.wikipedia.org/wiki/File:Yunnan_in_China_(%2Ball_claims_hatched).svg
Yuzhno-Sakhalinsk,Sakhalin,Russia,"Yuzhno-Sakhalinsk, Sakhalin, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Sakhalin_Oblast.svg
Yuzhong,Chongqing,China,"Yuzhong, Chongqing, China",https://en.wikipedia.org/wiki/File:Chongqing_in_China_(%2Ball_claims_hatched).svg
Zabaykalsky,Russia,,"Zabaykalsky, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Zabaykalsky_Krai.svg
Zagreb,,,Zagreb,
Zahedan,Sistan and Baluchestan,Iran,"Zahedan, Sistan and Baluchestan, Iran",https://en.wikipedia.org/wiki/File:IranSistanBaluchistan-SVG.svg
Zambezia,Mozambique,,"Zambezia, Mozambique",https://en.wikipedia.org/wiki/File:Zambezia_in_Mozambique.svg
Zambia,,,Zambia,
Zavkhan,Mongolia,,"Zavkhan, Mongolia",https://en.wikipedia.org/wiki/File:Zavkhan_in_Mongolia.svg
Zhejiang,China,,"Zhejiang, China",https://en.wikipedia.org/wiki/File:Zhejiang_in_China_(%2Ball_claims_hatched).svg
Zhengzhou,Henan,China,"Zhengzhou, Henan, China",https://en.wikipedia.org/wiki/File:Henan_in_China_(%2Ball_claims_hatched).svg
Zinder,Zinder Region,Niger,"Zinder, Zinder Region, Niger",https://en.wikipedia.org/wiki/File:Zinder_in_Niger.svg
Zinder,Niger,,"Zinder, Niger",https://en.wikipedia.org/wiki/File:Zinder_in_Niger.svg
Zouerat,Tiris Zemmour,Mauritania,"Zouerat, Tiris Zemmour, Mauritania",https://en.wikipedia.org/wiki/File:Tiris_Zemmour_in_Mauritania.svg
Zurich,Switzerland,,"Zurich, Switzerland",
